ERR1	EDARADD
MNL1	EDEM1
MBF1	EDF1
TEF1	EEF1A2
EFT2	EEF2
EFT1	EEF2
RIA1	EFTUD1
TIF11	EIF1AX
TIF11	EIF1AY
SUI1	EIF1B
YGR054W	EIF2A
GCN2	EIF2AK4
GCN3	EIF2B1
GCD7	EIF2B2
GCD1	EIF2B3
GCD2	EIF2B4
GCD6	EIF2B5
SUI2	EIF2S1
SUI3	EIF2S2
GCD11	EIF2S3
RPG1	EIF3A
PRT1	EIF3B
NIP1	EIF3C
NIP1	EIF3CL
TIF35	EIF3G
TIF34	EIF3I
TIF2	EIF4A1
FAL1	EIF4A3
CDC33	EIF4E
CDC33	EIF4E1B
TIF4632	EIF4G1
TIF4631	EIF4G2
TIF4631	EIF4G3
TIF5	EIF5
ANB1	EIF5A2
FUN12	EIF5B
TIF6	EIF6
TRZ1	ELAC2
GBP2	ELAVL1
HRB1	ELAVL2
HRB1	ELAVL3
HRB1	ELAVL4
ELF1	ELOF1
SUR4	ELOVL1
FEN1	ELOVL2
ELO1	ELOVL3
SUR4	ELOVL4
FEN1	ELOVL5
ELO1	ELOVL6
ELP2	ELP2
ELP3	ELP3
ELP4	ELP4
EMG1	EMG1
NUC1	ENDOG
ERR2	ENO1
ENO2	ENO2
ENO1	ENO3
NPP2	ENPP4
NPP2	ENPP6
NPP2	ENPP7
YND1	ENTPD4
GDA1	ENTPD5
GDA1	ENTPD6
YND1	ENTPD7
SUS1	ENY2
EPL1	EPC1
EPL1	EPC2
YDL025C	EPHA1
YDL025C	EPHA2
YDL025C	EPHA3
YDL025C	EPHA4
YDL025C	EPHA5
YDL025C	EPHA6
YDL025C	EPHA7
YDL025C	EPHA8
YDL025C	EPHB1
HRK1	EPHB2
NPR1	EPHB3
PRR2	EPHB4
YDL025C	EPHB6
ENT3	EPN1
ENT1	EPN2
ENT2	EPN2
ENT3	EPN3
EDE1	EPS15
EDE1	EPS15L1
SPC110	ERC1
SPC110	ERC2
RAD3	ERCC2
SSL2	ERCC3
RAD1	ERCC4
RAD2	ERCC5
RAD26	ERCC6
ERV46	ERGIC3
IRE1	ERN1
IRE1	ERN2
ERO1	ERO1L
ERO1	ERO1LB
YJL068C	ESD
ESF1	ESF1
SUP45	ETF1
YPR004C	ETFA
YGR207C	ETFB
YOR356W	ETFDH
EKI1	ETNK1
GYP5	EVI5
GYL1	EVI5L
DIN7	EXO1
EXO1	EXO1
SEC5	EXOC2
SEC6	EXOC3
SEC10	EXOC5
SEC15	EXOC6
SEC15	EXOC6B
EXO84	EXOC8
RRP6	EXOSC10
RRP4	EXOSC2
RRP40	EXOSC3
SKI6	EXOSC4
RRP46	EXOSC5
RRP45	EXOSC9
SCS7	FA2H
UBX3	FAF1
UBX3	FAF2
YNL168C	FAHD1
YNL305C	FAIM2
YNL024C	FAM119A
TVP23	FAM18B
FAR11	FAM40A
FAR11	FAM40B
YGL082W	FAM63A
YPL191C	FAM63B
YJR129C	FAM86C
YHR122W	FAM96B
STE13	FAP
MSF1	FARS2
FRS2	FARSA
FRS1	FARSB
FBP1	FBP1
FBP1	FBP2
HRT3	FBXO9
MET30	FBXW7
FCF1	FCF1
ERG9	FDFT1
ERG20	FDPS
ALG9	FDXACB1
ARH1	FDXR
HEM15	FECH
RAD27	FEN1
YDR109C	FGGY
FUM1	FH
HNT2	FHIT
FIG4	FIG4
YTA6	FIGNL1
FIS1	FIS1
RGM1	FIZ1
FPR1	FKBP1A
FPR1	FKBP1B
FPR1	FKBP1C
FPR2	FKBP2
BNR1	FMNL1
BNR1	FMNL2
BNR1	FMNL3
FMO1	FMO4
FMO1	FMO5
BZZ1	FNBP1
BZZ1	FNBP1L
RAM2	FNTA
RAM1	FNTB
VPS70	FOLH1
FKH1	FOXA1
FKH1	FOXA2
FKH2	FOXC1
FKH1	FOXC2
FKH1	FOXD2
FKH1	FOXD3
FHL1	FOXK1
FHL1	FOXK2
HCM1	FOXO1
HCM1	FOXO3
HCM1	FOXO4
MET7	FPGS
FRQ1	FREQ
TAO3	FRY
TAO3	FRYL
TRM7	FTSJ1
SPB1	FTSJ3
CDH1	FZR1
ZWF1	G6PD
ATG8	GABARAP
ATG8	GABARAPL3
GAL1	GALK2
GAL3	GALK2
YHR210C	GALM
YNR071C	GALM
GAL7	GALT
ROT2	GANAB
ROT2	GANC
TDH1	GAPDHS
TDH2	GAPDHS
GAR1	GAR1
GRS1	GARS
GRS2	GARS
ADE5,7	GART
RGD2	GAS7
GLC3	GBE1
GEA2	GBF1
GEA1	GBF1
PEF1	GCA
HXK1	GCK
GSH1	GCLC
GCN1	GCN1L1
GCV3	GCSH
GUD1	GDA
GDI1	GDI1
GDI1	GDI2
PGC1	GDPD1
YEN1	GEN1
ERV1	GFER
MEF1	GFM1
MEF2	GFM2
GFA1	GFPT1
GFA1	GFPT2
GGA1	GGA1
GGA1	GGA2
GGA2	GGA3
BTS1	GGPS1
SMY2	GIGYF1
SYH1	GIGYF2
PSF1	GINS1
PSF2	GINS2
PSF3	GINS3
SLD5	GINS4
SLX1	GIYD2
GUT1	GK
GUT1	GK2
GLE1	GLE1
PRY2	GLIPR1
PRY2	GLIPR1L1
PRY2	GLIPR1L2
GRX1	GLRX2
GRX2	GLRX2
GRX3	GLRX3
GRX4	GLRX3
GRX5	GLRX5
NOP53	GLTSCR2
GDH3	GLUD1
GDH1	GLUD2
GLN1	GLUL
YDR063W	GMFB
YDR063W	GMFG
PSA1	GMPPB
GUA1	GMPS
GPA1	GNA14
GPA1	GNAI1
GPA1	GNAI2
GPA1	GNAI3
GPA1	GNAO1
GPA1	GNAT1
GPA1	GNAT2
GPA1	GNAZ
STE4	GNB1
STE4	GNB2
ASC1	GNB2L1
STE4	GNB3
STE4	GNB4
STE4	GNB5
NOG2	GNL2
NUG1	GNL3L
GNA1	GNPNAT1
VPS74	GOLPH3
VPS74	GOLPH3L
GOT1	GOLT1A
GOS1	GOSR1
AAT2	GOT1
AAT2	GOT2
GAA1	GPAA1
GPD1	GPD1
GPD2	GPD1L
GUT2	GPD2
PGI1	GPI
YJL132W	GPLD1
NPA3	GPN1
YOR262W	GPN2
ALT1	GPT
ALT2	GPT2
GPX2	GPX4
HYR1	GPX4
GPX1	GPX4
YFL042C	GRAMD1A
YLR072W	GRAMD1B
PIN3	GRAP2
PIN3	GRB2
MGE1	GRPEL1
MGE1	GRPEL2
MSB3	GRTP1
MSB4	GRTP1
RRB1	GRWD1
RIM11	GSK3A
MRK1	GSK3B
SUP35	GSPT1
SUP35	GSPT2
GLR1	GSR
GSH2	GSS
GTT2	GSTO1
GTT2	GSTO2
TOA1	GTF2A1
SUA7	GTF2B
TFA1	GTF2E1
TFA2	GTF2E2
TFB1	GTF2H1
SSL1	GTF2H2
TFB4	GTF2H3
TFB2	GTF2H4
TFB5	GTF2H5
TFC4	GTF3C3
MSS1	GTPBP3
NOG1	GTPBP4
MTG2	GTPBP5
YDR336W	GTPBP8
GUF1	GUF1
GLG2	GYG1
GLG1	GYG2
GSY1	GYS1
GSY2	GYS2
HHO1	H1F0
HTA2	H2AFJ
HTZ1	H2AFV
HTA1	H2AFX
HTZ1	H2AFZ
HHT2	H3F3A
HHT2	H3F3B
BNA1	HAAO
YEL020C	HACL1
GLO2	HAGH
CYB2	HAO2
HTS1	HARS
HTS1	HARS2
HAT1	HAT1
CYC3	HCCS
RPD3	HDAC1
RPD3	HDAC2
YBR242W	HDDC2
YGL101W	HDDC2
YKL033W-A	HDHD1A
YMR130W	HDHD3
SCP160	HDLBP
UTP10	HEATR1
HUL4	HECTD2
IRC5	HELLS
MTQ1	HEMK1
HFM1	HFM1
VPS27	HGS
GUP1	HHAT
EHD3	HIBCH
HNT1	HINT1
SLA2	HIP1
SLA2	HIP1R
HIR2	HIRA
VIP1	HISPPD1
VIP1	HISPPD2A
HHO1	HIST1H1A
HHO1	HIST1H1B
HHO1	HIST1H1C
HHO1	HIST1H1D
HHO1	HIST1H1E
HTA2	HIST1H2AA
HTA2	HIST1H2AC
HTA2	HIST1H2AE
HTA2	HIST1H2AH
HTA2	HIST1H2AI
HTA2	HIST1H2AJ
HTA2	HIST1H2AK
HTA2	HIST1H2AL
HTA2	HIST1H2AM
HTB2	HIST1H2BA
HTB2	HIST1H2BB
HTB2	HIST1H2BC
HTB2	HIST1H2BD
HTB2	HIST1H2BE
HTB1	HIST1H2BF
HTB2	HIST1H2BG
HTB2	HIST1H2BH
HTB2	HIST1H2BI
HTB2	HIST1H2BK
HTB2	HIST1H2BL
HTB2	HIST1H2BM
HTB2	HIST1H2BO
HHT2	HIST1H3A
HHT2	HIST1H3C
HTA2	HIST1H3D
HHT2	HIST1H3E
HHT2	HIST1H3F
HHT2	HIST1H3G
HHT2	HIST1H3H
HHT2	HIST1H3I
HHT2	HIST1H3J
HHF1	HIST1H4C
HHF1	HIST1H4D
HHF1	HIST1H4E
HHF1	HIST1H4F
HHF1	HIST1H4H
HHF1	HIST1H4I
HHF1	HIST1H4J
HHF1	HIST1H4K
HHF1	HIST1H4L
HTA2	HIST2H2AA3
HTA2	HIST2H2AB
HTA2	HIST2H2AC
HHT2	HIST2H3A
HHT2	HIST2H3C
HHT2	HIST2H3PS2
HHF1	HIST2H4A
HHF2	HIST2H4B
HTA2	HIST3H2A
HTB2	HIST3H2BB
HHT2	HIST3H3
HHF1	HIST4H4
HXK2	HK1
HXK2	HKDC1
BPL1	HLCS
RAD5	HLTF
YKL100C	HM13
HEM3	HMBS
ABF2	HMGB1
ABF2	HMGB2
ABF2	HMGB3
LYS20	HMGCL
HMG2	HMGCR
HMG1	HMGCR
ERG13	HMGCS1
ERG13	HMGCS2
HMX1	HMOX1
HMX1	HMOX2
HMF1	HRSP12
MMF1	HRSP12
JAC1	HSCB
YIR035C	HSD11B1
YDL114W	HSD17B11
YBR159W	HSD17B12
YLR426W	HSD17B13
YBR159W	HSD17B3
FOX2	HSD17B4
ERG27	HSD17B7
ERG27	HSD17B7P2
YBR159W	HSDL1
HSF1	HSF1
HSF1	HSF2
SKN7	HSF5
HSP82	HSP90AB1
SSA3	HSPA1A
SSA2	HSPA2
SSE2	HSPA4
SSE1	HSPA4L
KAR2	HSPA5
SSA1	HSPA8
ECM10	HSPA9
SSC1	HSPA9
HSP10	HSPE1
SSE1	HSPH1
FMP52	HTATIP2
CUS2	HTATSF1
TOM1	HUWE1
ILS1	IARS
ISM1	IARS2
