ADRBK1	CAPN2
BCL2	CAPN2
BID	CAPN2
ARHGEF6	CAPNS1
ARR3	CAPNS1
ATP5J2	CAPNS1
CAPN1	CAPNS1
CAPN2	CAPNS1
ACTB	CAPZA1
BIN3	CAPZA1
BIN3	CAPZA2
ACTG1	CAPZA3
CAPZA2	CAPZA3
BCCIP	CAPZB
CAP1	CAPZB
CAP2	CAPZB
CAPZA1	CAPZB
CAPZA2	CAPZB
BCL10	CARD10
BCL10	CARD11
BCL10	CARD14
BCL10	CARD9
ATIC	CARS
APBA1	CASK
APBA2	CASK
ARHGEF7	CASK
ATP2B4	CASK
CASK	CASKIN1
ARHGDIA	CASP10
BID	CASP10
CAPN1	CASP14
CASP10	CASP14
AC103686.1	CASP2
ADCYAP1	CASP2
BCL2	CASP2
BCL2L1	CASP2
BID	CASP2
CASP10	CASP2
CASP14	CASP2
AC103686.1	CASP3
ACIN1	CASP3
ADD1	CASP3
AIFM1	CASP3
AKAP8	CASP3
AKT1	CASP3
AKT2	CASP3
AKT3	CASP3
APAF1	CASP3
APP	CASP3
AR	CASP3
ARHGDIB	CASP3
ATN1	CASP3
BCAP31	CASP3
BCAR1	CASP3
BCL2	CASP3
BID	CASP3
BIRC2	CASP3
BIRC3	CASP3
BIRC5	CASP3
BIRC7	CASP3
BLM	CASP3
BRCA1	CASP3
CASP10	CASP3
CASP2	CASP3
APAF1	CASP4
APP	CASP4
CASP10	CASP4
CASP14	CASP4
CASP3	CASP4
APP	CASP6
CASP10	CASP6
CASP3	CASP6
AR	CASP7
BIRC2	CASP7
BIRC3	CASP7
BIRC5	CASP7
BIRC7	CASP7
CASP10	CASP7
CASP2	CASP7
APAF1	CASP8
AR	CASP8
ARHGDIA	CASP8
ATG5	CASP8
BCAP31	CASP8
BCL2	CASP8
BCL2L1	CASP8
BFAR	CASP8
BID	CASP8
BIRC2	CASP8
CASP10	CASP8
CASP14	CASP8
CASP2	CASP8
CASP3	CASP8
CASP4	CASP8
CASP6	CASP8
CASP7	CASP8
CASP8	CASP8AP2
ABL1	CASP9
AKT1	CASP9
APAF1	CASP9
BCL10	CASP9
BCL2L1	CASP9
BIRC2	CASP9
BIRC3	CASP9
BIRC5	CASP9
BIRC7	CASP9
CAPN2	CASP9
CASP10	CASP9
CASP2	CASP9
CASP3	CASP9
CASP8	CASP9
ANKRD1	CASQ2
CAPN1	CAST
CAPN2	CAST
CAPN8	CAST
CAPN9	CAST
CAPNS1	CAST
CASP3	CAST
CASP7	CAST
ABL1	CAT
BCS1L	CAT
ADAMTSL4	CATSPER1
BEGAIN	CATSPER1
CACNA1I	CATSPER1
CACNA1I	CATSPER2
ABCB1	CAV1
ABL1	CAV1
ADRBK1	CAV1
AKAP1	CAV1
APP	CAV1
AQP3	CAV1
AR	CAV1
BMX	CAV1
BSG	CAV1
BTK	CAV1
CAV1	CAV2
CBFA2T2	CBFA2T3
CBFA2T2	CBFB
ABL1	CBL
ARHGEF7	CBL
ASAP1	CBL
AXL	CBL
BCR	CBL
BLK	CBL
BTK	CBL
ARHGEF7	CBLB
BLNK	CBLB
BTK	CBLB
CBLN1	CBLN3
CBLN2	CBLN3
CBLN3	CBLN4
ARIH2	CBR3
C17orf28	CBS
CARS	CBS
ARL5A	CBX1
BAP1	CBX1
C11orf30	CBX1
C1orf103	CBX1
BMI1	CBX2
ARL5A	CBX3
BAP1	CBX3
CBX1	CBX3
BMI1	CBX4
Bmi1	CBX4
ARL5A	CBX5
ATRX	CBX5
BCL11B	CBX5
CBX1	CBX5
CBX3	CBX5
BMI1	CBX7
BMI1	CBX8
CBX4	CBX8
CBX7	CBX8
CASP10	CCAR1
ATF4	CCDC106
C14orf1	CCDC106
C1orf103	CCDC106
C7orf64	CCDC106
C1orf190	CCDC112
ATP5J2	CCDC137
CCDC101	CCDC158
C19orf50	CCDC33
CALCOCO2	CCDC33
ABI2	CCDC53
AGGF1	CCDC85B
AKIRIN2	CCDC85B
ALS2CR11	CCDC85B
APEX2	CCDC85B
AQP1	CCDC85B
BAT4	CCDC85B
BEX2	CCDC85B
C10orf10	CCDC85B
C10orf18	CCDC85B
C16orf48	CCDC85B
C19orf25	CCDC85B
C1orf111	CCDC85B
C1orf65	CCDC85B
C20orf195	CCDC85B
C21orf91	CCDC85B
C7orf50	CCDC85B
C8orf48	CCDC85B
CARD9	CCDC85B
CCDC11	CCDC85B
CCDC112	CCDC85B
CCDC116	CCDC85B
CCDC120	CCDC85B
CCDC33	CCDC85B
CCDC67	CCDC85B
CCDC155	CCDC87
AKT1	CCDC88A
BRAF	CCDC88A
AGR2	CCDC90B
ARL15	CCDC90B
BTBD2	CCDC90B
C11orf59	CCDC90B
ACTA1	CCIN
CCK	CCKBR
CCBP2	CCL11
CCBP2	CCL13
